,title,author,dept,year,advisor,abstract
365,Studying the Lipid Binding of Patellin1 Using Molecular Dynamics Simulations,"Daigle, Amanda",Bioinformatics,2012,"Elmore, Donald E.
Radhakrishnan, Mala
Tjaden, Brian",
366,"Understanding phenotypic plasticity: the effect of temperature and the roles of posterior Hox genes on the development of abdominal melanic pigmentation in the milkweed bug, Oncopeltus fasciatus","Sharma, Aabha",Biological Chemistry,2012,"Suzuki, Yuichiro",
367,At Home: Explorations in Painting,"Schweger, Zsofia",Art,2012,"McGibbon, Phyllis","—Keywords: Home in art, Painting -- Themes and motives"
368,"Diet as a Prevention Tool for Chronic, Low-Level Lead Exposure: A Population-Specific Intervention Model for Massachusetts","Handler, Phoebe",Environmental Studies/Science,2012,,
369,Studying Antimicrobial Peptide Mechanisms: Analysis of Novel HDAPS and Development of High-Throughput Techniques,"Pavia, Kathryn",Biological Chemistry,2012,"Elmore, Donald E.",
370,Translation and Interpretation: In Search of a Certain Je Ne Sais Quoi,"Parker, Katherine",Comparative Literature,2012,"Rosenwald, Lawrence
Young, Elizabeth","—Keywords: Translating and interpreting, Marcel Proust (1871-1922). À la recherche du temps perdu -- Translations"
371,"""Awakening"" Country and Faith: The Construction of Sino-Muslim Histories and Identities in the Early Twentieth Century","Huang, Mengyu",East Asian Studies,2012,"Giersch, C. Pat
Matsusaka, Y. Tak","Today, China prides itself as a nation of fifty-six officially-recognized ethnic groups, including ten predominantly-Muslim ethnicities. Of the ten, the most populous are the Huizu or Sino-Muslims. Yet Huizu did not always exist as an ethnic category. As China transitioned from empire to modern nation-state in the twentieth century, new forms of identity emerged. Sino-Muslim intellectuals held different views about whether all Muslims in China comprised one nationality or were ethnically different while sharing one common religion. This internal debate provides the key to understanding how the terms ""Hui"" and ""Huizu"" underwent the curious transformation from a religious to an ethnic marker. Reevaluating Hui agency, my research examines the strategies used by Sino-Muslims to construct their collective identity and how these active efforts, in addition to state actions, contributed to the eventual recognition of an autonomous Hui nationality. —Keywords: Islam -- China -- History, Muslims -- China -- 20th century"
372,Domestic and Subversive: The Roles of Women in the Children's Novels of Louisa May Alcott,"Lenahan, Hayley Miller",English,2012,"Rosenwald, Lawrence","This paper examines the roles of women in Louisa May Alcott's children's novels and the ways the author subverts and reinforces society's expectations of women through her wildly popular writing. It primarily discusses Little Women (1868), An Old-Fashioned Girl (1870), Little Men (1871), Eight Cousins (1875), Rose in Bloom (1876), and Jo's Boys (1886). —Keywords: Louisa May Alcott (1832-1888) -- Criticism and interpretation, Women in literature"
373,Emergence of Human Episodic Memory and Future Thinking,"Lee, Michelle",Neuroscience,2012,"Keane, Margaret
Gleason, Tracy","Episodic memory and future thinking are crucial capacities that emerge and undergo substantial development during the preschool years. However, their relationship has rarely been examined in tandem within development. Narratives were elicited from 3-, 4-, and 5-year-old children (n = 36) to assess episodic memory and future thinking. The richness of children's memory and imagined future episodes was measured by the number of episodic details in their narratives. Non-narrative measures of episodic memory and future thinking were also administered. As hypothesized, children's ability to recall personal events and generate possible future events underwent substantial development during the preschool years on three of the four memory and future thinking tasks, with the exception of narrative future thinking. Nevertheless, narrative memory and narrative future thinking remained correlated even after controlling for working memory, inhibition, verbal ability and narrative fluency. These results suggest the possibility of a common neurocognitive basis underlying narrative memory and narrative future thinking in preschool development. Mental time travel and scene construction are identified as possible common mechanisms underlying this relationship. —Keywords: Memory in children, Cognition in children"
374,Challenging Religious Communalism With Theatre: Mahesh Dattani's Final Solutions,"Pillai, Sohini",South Asia Studies,2012,"Shukla-Bhatt, Neelima","—Keywords: Mahesh Dattani. Final solutions, Mahesh Dattani -- Criticism and interpretation, Communalism -- India"
375,Freedom under the Word,"Concilio, Arielle","English
Spanish",2013,"Rosenwald, Lawrence",
376,Still Life: A Comparison of Pieter Claesz and Jean-Siméon Chardin,"Ezor, Danielle Rebecca",Art,2013,"Carroll, Margaret","This work examines the relationship between the still lifes of Pieter Claesz, a seventeenth-century Haarlem painter, and Jean-Siméon Chardin, an eighteenth-century Parisian painter. In the absence of any truly developed theory of still life, Claesz and Chardin provide a commentary on still-life painting by reacting to the paintings of their predecessors. In doing so, these two artists attempted to elevate the genre of still life by foregrounding artistry through brushstroke and subject matter, creating still lifes that are more than pure imitation. The works of Claesz and Chardin show how still life can bring both creativity and skill into still life and create an intimate world for the viewer."
377,How Women Experience and Embody Privilege in Elite Liberal Arts Colleges,"Gutierrez, Priscilla Devon",Sociology,2013,"Rutherford, Markella
Cuba, Lee","Researcher Shamus Khan (2011) understands ""privilege"" as the ability to be at ease in a multitude of social situations and to function facilely within these situations. While it is a skill proven to be desirable in both school and the job market, only certain lifestyles and institutions, such as elite boarding schools, have traditionally fostered its development. My thesis research looks at the experience and embodiment of privilege among female students on elite liberal arts college campuses, both single-sex and co-educational. Using longitudinal data from the New England Consortium on Assessment and Student Learning (NECASL), I compare the ways in which female students of different races/ethnicities and socioeconomic statuses experience and acquire privilege. Ultimately, I conclude that elite college students of all backgrounds express privilege similarly and effectively because colleges admit students who either have the appropriate dominant habitus or are very close to achieving it. While I do not find Khan's observations replicated in elite colleges, I contend that my findings reinforce his larger argument about the role of privilege and notions of a diverse meritocracy in obscuring mechanisms of social reproduction."
378,"Look at me, Don't Look at me: Body Image and Types of Narcissism","Hargreaves, Katharine",Psychology,2013,"Cheek, Jonathan M.",
379,The Rise of Julius Malema,"Crowell, Samantha M.",Africana Studies,2012,"Obeng, Pashington","—Keywords: Julius Malema, African National Congress. Youth League, South Africa -- Politics and government -- 1994-"
380,Time Zones,"Santo, Hallie",English,2012,,
381,Yes We Can: The Role of Social Media in Facilitating and Enhancing Political Organizing,"Pan, Elizabeth Hsueh Yue",American Studies,2012,,"—Keywords: Social media -- Political aspects -- United States, Political participation -- Technological innovations -- United States, Internet in political campaigns -- United States"
382,The Volunteer's Dilemma: An Evolutionary Analysis,"Gopinath, Divya",Economics,2012,"Rothschild, Casey
Shurchkov, Olga","—Keywords: Game theory, Evolutionary economics, Mathematical Economics"
383,"Protestant and Confucian Ethics, & the Spirit of Capitalism in Wenzhou, China","Tien, Grace N.",Political Science,2012,"Joseph, William","—Keywords: Christianity -- China, Confucianism -- China, Entrepreneurship -- China -- Wenzhou Shi -- Religious aspects"
384,Exploring the Evolutionary Enigma of Concealed Ovulation in Homo sapiens: A Study of Facial Asymmetry and Ovulation,"Bass, Julie",Anthropology,2012,"Van Arsdale, Adam
Karakasidou, Anastasia","—Keywords: Ovulation, Sexual selection, Symmetry (Biology), Face -- Social aspects, Interpersonal attraction"
385,How Does Financial Behavior Respond to Negative Income Shocks? Evidence from the Ethiopian Drought,"Kim, Ypsse",Economics,2012,"Shastry, Gauri Kartini","—Keywords: Rotating credit associations -- Developing countries, Droughts -- Economic aspects -- Ethiopia"
386,Cruelly penned: rape and the subject of sexual violence,"Winston, Jessica Lynn",English,1994,"Levine, Laura",
387,Medieval Nonsense Verse: Contributions to the Literary Genre,"Begg, Bridget",English,2013,"Sergi, Matthew",
388,"""The Story We Had To Tell:"" How Chinua Achebe and Wole Soyinka Reclaimed Nigerian Identity Through Their Writing","Brodie, Clara",English,2013,"Sabin, Margery","My project is, in briefest terms, an examination of Chinua Achebe and Wole Soyinka as colonial and post-colonial Nigerian writers. Through my reading and analysis, I am endeavoring to gain an understanding of how both writers convey the irrevocable consequences of colonialism through their literature and how they represent various aspects of the hybrid identity that British influence on their culture has created."
389,"""A Touch of Art"": Sarah Wyman Whitman and the Art of the Book in Boston","Eckel, Molly",Art,2012,"McNamara, Martha","Painter, book designer, and stained glass artist, Sarah Wyman Whitman (1842-1904) has largely been ignored in art historical scholarship despite her ""Renaissance Woman"" approach to artistic production, her devotion to the democratization of design, and prominence in Boston's nineteenth-century social circles. Whitman acted as a pioneer by carving out a niche for women artists who chose to avoid the male-dominated, hierarchal sphere of nineteenth-century fine arts. Instead, she turned to producing cloth-stamped book covers and works in stained glass and is credited as the first person to procure full-time employment as a book designer. My paper will use Sarah Wyman Whitman's life and work to explore how her social networks of Boston artists, authors, and reformers shaped her work across media and illuminate a variety of issues facing women artists during this period in the context of the fine press revival in Boston, the gender politics of craft, and notions of feminine sensibility."
390,The Village and the City: Imagining and Building Post-Independence India,"Naka, Ikuno",International Relations,2012,"Rao, Nikhil","Since independence in 1947, India has seen the creation of ambitious new postcolonial cities and rural development projects throughout. Underscoring many of these rural and urban planning projects was a new 20th-century understanding of the built environment as being connected to a nation's society, economy and politics. The redevelopment of India's built environment was part of a larger utopian project of changing India's condition of underdevelopment; a means of broadcasting that Nehruvian assumption of nationhood outwards. There were two projects in particular that were pioneers of their time. The first is the redevelopment of the rural agricultural villages of Uttar Pradesh. The second is creation of the new capital city of northern India, Chandigarh. Both projects were a means to move forward from India's past so often associated with its ""backwardness"", and assert itself, in the most physical and obvious way, as a modern nation-state to its citizens and to the greater international community. —Keywords: Cities and towns -- India -- History -- 20th century, India -- Politics and government -- 20th century"
391,"Men of Word and Deed: Whiteness, Masculinity, and Popular Culture Productions of the Texas Rangers","Knerr, Kerry",American Studies,2012,"Quintana, Ryan","This work examines the processes by which whiteness and masculinity are producing in popular culture westerns, and engages that cultural work with its historical context. I examine the early institutional history of the Texas Rangers in the light of new scholarship on Texas Native American groups, especially the Comanche, and expose the myth-making inherent in the organization's earliest history. Close readings of two specific Westerns that focus on Texas Ranger figures, Nelson Lee's Three Years Among the Comanche and Zane Grey's The Lone Star Ranger, further explicate later historical processes. Lee's falsified memoir is placed in the broader national context of Westward expansion leading up to the Civil War, and Grey's novel is put in dialogue with Theodore Roosevelt's contemporaneous manipulation of Western ideologies in service of American imperialism. Taken together, the cultural work that Westerns and Texas Ranger figures do is clarified and contextualized--especially their role in supporting constructions of race, gender, and class. In this way, early Western fiction shows the fiction of the whiteness and masculinity espoused by the Texas Rangers. —Keywords: Texas Rangers -- In popular culture, Texas -- History -- 19th century, Nelson Lee (b. 1807), Zane Grey (1872-1939). Lone Star ranger"
392,The Valuation and Commodification of Slave Women in the New Orleans Market,"Brown, Elizabeth",History,2013,"Quintana, Ryan",
393,Status Inequalities: A Study of the Impact of Socioeconomic Disparities on Educational Experience,"Johnstonbaugh, Morgan",Sociology,2014,"Cushman, Thomas","This thesis investigates the social, economic, and psychological factors that contribute to educational success. The analysis of 20 qualitative interviews with students at an elite liberal arts college highlights the complex relationship between socioeconomic status and education. Interviewees discuss the fields they encountered and the capital they accrued as they formed a habitus that was continuously being shaped by their experiences. These factors contributed to the trajectories that students followed as they developed high aspirations and continued on to university. A comprehensive analysis of this largely social process accentuates the inadequacies of educational policy that focuses on formal rather than informal processes of learning and education."
394,Educating for Femininity? Reform of Working and Middle Class Girls' Education in Victorian England,"Dowdall, Daisy",History,2014,"Kapteijns, Lidwien
Slobodian, Quinn","Working and middle-class girls' education underwent significant reform in Victorian England. These reforms have been widely studied, with scholars divided into two broad historiographical schools: one that emerged in the late 1970s and places emphasis on the theory behind the reform to argue that little changed, and one that developed around 1990 and focuses on tangible practical change to demonstrate that a transformation did indeed occur. The purpose of this thesis is to bridge the gap between these two bodies of scholarship, examining the significance of girls' educational reform from the subjective positions of some working-class and middle-class girls, as expressed in their memoirs. It demonstrates that while conservative attitudes regarding both the fundamental purpose and overall utility of girls' education persisted (and indeed, remained prevalent) well into the late 19th century, major reforms within schools significantly altered the school experience for the majority of Victorian girls. These reforms drastically changed not only the educational but also the occupational landscape for young Victorian and Edwardian women. Thus this study concludes that girls' educational reform, while not completely transformative, did transform the lives of many individual women."
395,Harnessing Visibility: Creating Perspective in Narrative Film,"Chen, Lauren",English,2014,"Tyler, Luther","This thesis discusses my definition of ""harnessed"" visibility and perspective in Hollywood films. The project emphasizes the importance of creating perspective in cinema, outlining the necessary cinematographic elements in perspective and applying them to popular films spanning from the 1940s to the present."
396,Haptic Interaction in 3D Stereoscopic User Interfaces,"Petrow, Heather",Media Arts and Sciences,2014,"Shaer, Orit
Lee, Sohie
Olsen, David","Haptic feedback is an area of technology that utilizes the sense of touch, by providing tactile interaction. It has been integrated into gaming consoles and mobile devices, and has been researched for its potential in programs that range from medical training simulations to collaborative workspaces. 3D stereo display is another growing facet of technology that is reexamining the possibilities of the user experience. The zSpace system is a computing hardware platform that simulates realistic, holographic, 3D stereoscopic vision. Using this system, this research project aimed to study how haptic feedback can enhance the user interface and understanding of 3D virtual space, by applying and exploring the effects of different types of haptic interaction in two zSpace applications. User experience in haptic and non-haptic versions of these programs was evaluated through a comparative analysis of various measures including observation, performance, presence, and workload."
397,"Employed Mothers: Expectations, Aspirations, and Self-Perceptions","Heroux, Kelsey",Sociology,2014,"Radhakrishnan, Smitha","This study uses fourteen interviews with employed mothers to explore how they perceive themselves as mothers and employees. Three primary claims are made about employed mothers based on this interview data. The first is that employed mothers do not want to have it all. The second is that employed mothers know when they are being treated differently because of their gender. And lastly, employed mothers strategically perform their gender in the workplace. These findings help to illuminate some common misconceptions about women and employed mothers in particular that, when recognized, can provide a better perspective for understanding the steps that might be taken towards mitigating some of the challenges employed mothers face."
398,Improving the Usability of App Inventor through Conversion between Blocks and Text,"Chadha, Karishma",Computer Science,2014,"Turbak, Franklyn","In blocks programming, users compose programs by combining visual fragments (blocks) shaped like jigsaw-puzzle pieces. The shapes suggest how the blocks fit together, reducing syntactic frustrations experienced by novices when learning textual programming. MIT App Inventor 2 (AI2), a popular online environment for Android app development, democratizes programming through its easy-to-use blocks language. However, while simple blocks programs are easy to read and write, complex ones become overwhelming. Creating and navigating nontrivial blocks programs is tedious, and AI2's current inability to copy blocks between projects inhibits reusing blocks code or sharing blocks code with others. To address these issues, I have created a new textual language, TAIL, that is isomorphic to AI2's blocks language and provided a means for converting between them. TAIL syntax is designed to provide users with a systematic way to translate the visual information on the blocks into text. I have extended AI2 with a set of code blocks (for expressions, statements, and top-level declarations) in which users can type TAIL code representing I2 blocks. These code blocks have the same meaning as the larger block assemblies they represent. Programmers can also convert back and forth between these code blocks and the original AI2 blocks. Language isomorphism guarantees that a round-trip conversion (from text to blocks and back, or blocks to text and back) begins and ends with the identical program. To implement the TAIL language, I wrote a grammar for the ANTLR parser generator to generate a JavaScript lexer and parser for TAIL. I use actions in the grammar to translate the TAIL parse tree into AI2's XML tree representation for blocks. This project aims to (1) increase AI2's usability by providing an efficient means for reading, constructing, sharing, and reusing programs, and (2) ease users' transitions from blocks programming to text programming."
399,Défenseurs des idéaux républicains français ? : La remise en cause de l'identité des intellectuels anticolonialistes pendant la guerre d'Algérie,"Mo, Sophia",French,2014,"Datta, Venita",
400,"""The Funniest Woman in the World"": Jackie 'Moms' Mabley and Redefining Political Activism in the Modern Black Freedom Struggle","Leeson, Frances",History,2014,"Greer, Brenna",
401,Berlioz's Les nuits d'été: Masterful Orchestration as a Vehicle for Text Expression,"Siegel, Katherine",Music,2014,"Bhogal, Gurminder","Les nuits d'été is a collection of songs by Hector Berlioz with texts by Théophile Gautier. It is a rare jewel of the art song repertoire because of its genre: it is one of the first of few orchestral song cycles ever to be composed, and the only one from nineteenth century France that is well known today. Another fascinating aspect of the work is its unconventional origin: it was initially composed for voice and piano in 1840-1841, and not fully orchestrated until 1856. Without question, the orchestral version has been the work to withstand the test of time; though the piano-voice version represents Berlioz's original vision for the songs, it is rarely performed and far less admired today. It is Berlioz's masterful orchestration that sent the initially admired piano version into obscurity and propelled the orchestral version into the limelight in the decades following his death. My thesis explores Berlioz's reasons for composing and orchestrating Les nuits d'été. I will compare the text settings of the orchestral version to those of the original with piano accompaniment in order to understand exactly how Berlioz used the orchestra to express the text. For the performance portion of my thesis, I will perform Les nuits d'été in the context of my Senior Voice Recital. I use the orchestral piano-reduction in preparation for a future performance of the work with orchestra. The detailed analysis of Berlioz's songs- from historical and critical perspectives as presented here- shape my performance."
402,Altruism: A Natural Thought History of an Idea,"Golub, Caroline",Sociology,2014,"Imber, Jonathan B.","This thesis explores the numerous definitions and ideas surrounding the term altruism, tracking it from its origins in sociology, to the ways in which it has been interpreted across disciplines."
403,Improving App Inventor Debugging Support,"Okerlund, Johanna",Computer Science,2014,"Turbak, Franklyn","MIT App Inventor 2 (AI2) is a visual environment where programs for Android mobile devices are composed of blocks resembling puzzle pieces. App Inventor lowers barriers for novices by providing visual guidance for understanding programs and by reducing common programming errors, but it does not eliminate errors entirely. Preliminary analysis of the users' runtime errors shows that better debugging tools for AI2 are needed. People often encounter the same error or a series of errors before they find a solution or give up. I have implemented AI2 features to help programmers pinpoint the source of runtime errors. In live development mode, AI2 users can test on their devices blocks programs written in a web browser on their computer. Previously, often cryptic runtime error messages were displayed in a dialogue box in the browser window. With my changes, more meaningful runtime error messages are displayed on the block causing the error. I have also implemented a watch feature that allows users to track values of variables and expressions. My version is an improved version of the watch from App Inventor Classic. I have also implemented the means to collect more meaningful data on users errors. Currently, runtime error reports in live development mode are automatically stored in a cloud database. The reports include only the error message, the time of the error, and the device on which it was generated. I have augmented the error reports to include the current program code and its author. This extra information can be used to better understand who generates errors, why they are generated, and how users try to fix them. This information will support better debugging and, in the future, can be a basis for an intelligent debugging tutor."
404,"Adverse Selection in the Irish Tontines of 1773, 1775 and 1777","Li, Yikang",Economics,2014,"Rothschild, Casey
Skeath, Susan
Chang, Stanley","A ""tontine"" is a special kind of annuity in which all participants contribute equally to a subscription pool, and a fixed percent of the total capital raised is distributed equally among surviving nominees every year. In this paper, we examine the adverse selection in the Irish tontines of 1773, 1775 and 1777 because of the presence of a group of speculative investors, namely a group of Genevan bankers. These Genevan investors purportedly cherry picked nominees with greater expected longevity. Their existence allows us to study a rather unconventional aspect of adverse selection, which arises from the informational asymmetry among different types of buyers. Using a newly compiled data set on the nominees and their subsequent mortality, we estimate that these Genevan investors earned on average 8.5% more per share than the other subscribers of the Irish tontines. The result suggests that speculative investors with access to superior information may earn higher returns at the expense of average investors, a phenomenon implicit but difficult to quantify in other insurance markets."
405,Synthesis and Evaluation of a Series of Novel Isoprenylated Coumarins as Potential Anti-Pancreatic Cancer Agents,"Eyring, Katherine",Neuroscience,2014,,
406,Investigating the Role of ventral veins lacking in the Endocrine Regulation of Metamorphic Timing,"Ko, Amy",Biological Sciences,2014,"Suzuki, Yuichiro",
407,"Morphological Changes to the Acehnese Coastline in Sumatra, Indonesia, since the 2004 Indian Ocean Tsunami","Templeton, Caroline",Geosciences,2014,"Monecke, Katrin",
408,Effect of Macromolecular Crowding on the Electrostatic Interaction of Barnase-Barstar: Initial Steps Using an Explicit Solvent Model,"Qi, Helena",Chemistry,2014,"Radhakrishnan, Mala",
409,Differentially expressed PR-A and PR-B are co-localized with SRC-1 and SRC-2 in the female mouse hypothalamus,"Finkelstein, Sarah",Neuroscience,2014,"Tetel, Marc",
410,Functionalizing Silica Coated Iron Oxide Nanoparticles for Imaging and Targeted Treatment of Pancreatic Cancer,"Nagalla, Raji",Biological Chemistry,2014,,
411,Stereoselective Synthesis of an Omuralide Analogue Through a Lewis Acid Catalyzed Reaction of an Aldehyde and an Oxazole,"Berman, Doris",Chemistry,2014,"Haines, David","Lactacystin, or more specifically, its biologically active form, omuralide, is a known inhibitor of cell cycle progression in a number of cell lines. However, omuralide is also an inhibitor of the proteasome, an essential protease within eukaryotic cells. Because of the complexity of the available syntheses, development of selective analogs of omuralide has progressed slowly. Our research seeks to develop efficient and highly stereoselective syntheses of omuralide analogs via the metal catalyzed reaction of a chiral aldehyde with a protected oxazole.This catalysis has been accomplished with high stereoselectivity using a simple aluminum catalyst but the efficiency of this reaction has not been high. Results from a variety of additional catalysts will be discussed."
412,"The Role of the Hedgehog Signaling Pathway in the Regulation of Larval and Adult Appendage Patterning in the Flour Beetle, Tribolium Castaneum","Darakananda, Karin",Biological Sciences,2014,"Suzuki, Yuichiro",
413,An Intensive Examination of Chloroplast Movement and NPQ in Arabidopsis thaliana Wild type and Mutants Grown Under Different Light Conditions.,"Bae, Andrea",Neuroscience,2014,,
414,Evaluation of Phosphodiesterase 3A as a Biomarker and Target for a Novel Cytotoxic Agent,"Saad, Miryam",Biological Chemistry,2014,"Elmore, Don
de Waal, Luc",
415,Designing an experimental apparatus for auditory functional MRI studies in the zebra finch model,"Zemlok, Sarah",Chemistry,2014,,
416,Standing By Your Man: Factors in Media Coverage of Political Sex Scandals,"Mahmood, Sarah",Political Science,2014,"Just, Marion",
417,Bangalore: Urban Development and Environmental Injustice,"Udvardi, Mayrah",Environmental Studies/Science,2014,,"This thesis bridges the transnational discourses on environmental justice and urban social inequality through an in depth analysis of Bangalore, India. I define environmental justice as the meaningful participation in the development of the environment and the fair access to that environment across peoples regardless of difference. Although gaining traction in other global cities, environmental justice has not been considered in Indian cities because the conceptualization of the ""environment"" is pragmatically restricted to rural areas. I ground this thesis in three core arguments: (1) the natural environment and built environment exist in a hybrid form in both cities and rural areas; (2) by ascribing agency to both the natural and the built components of hybrid environments, it is possible to qualify their nexus as it impacts the human experience; (3) problems that are commonly understood as social injustices are shaped by this natural-built environment (NBE) nexus, and must therefore be reconstructed as environmental injustices. By studying Bangalore's development using the NBE nexus framework, I am able to understand the city's dichotomies on a deeper level, as inextricably linked to its environment in both causes and solutions. Chapter 1 places Bangalore in a global context, establishing it as a relevant and useful case study for understanding urban environments and injustice worldwide. In Chapter 2 and 3, I analyze the history of Bangalore's urban and rural NBE nexuses, respectively, in order to understand the injustices that have persisted through today. In Chapter 4, I analyze Ejipura Slum, a dramatic example of how Bangalore's NBE nexus creates a negative urban experience for poor people. I conclude with a case-study-based exploration of potential strategies for mitigating environmental injustice and reimagining the NBE nexus to be sustainable and just for all."
418,Rules of the Game: Examining U.S. Policy in Korea (1947-1950),"Lee, Jordan","Political Science
International Relations",2014,"Goddard, Stacie",
419,What We Are Paying for: A Quality Adjusted Price Index for Laptop Microprocessors,"Sun, Liyang","Economics
Mathematics",2014,"Sichel, Dan","A microprocessor contains the central processing unit and takes the role of the ""brain"" for a computer. For the past decades, we have benefited greatly from its technological improvement. To accurately measure the contribution of such technological improvement to economic growth, we need a quality adjusted price index, which also helps us understand quality and technology trends in microprocessors. The quality trend in desktop microprocessors has been extensively studied. I focus on microprocessors for laptops for my senior economics thesis. Using data I newly collected on laptop microprocessor prices and performance metrics, I construct a quality adjusted price index spanning the past ten years. Across a range of empirical specifications, I find a sharp decrease in quality adjusted price over 2004-2013, but smaller in magnitude since 2010. These results might suggest a different technological improvement pattern and/or changing pricing strategies in the laptop microprocessor segment of the industry."
420,Emerging issues in Catholic healthcare: Do no harm?,"Tupper-Bridges, Anna","Religion
Political Science",2014,"Elkins, Sharon","One in six hospital patients in America are treated at a Catholic hospital, and in the last three years at least 20 Catholic hospitals have merged with secular ones. Catholic-affiliated hospitals must abide by the United States Council of Bishops' Ethical and Religious Directives, and merged hospitals are frequently required to follow these directives. One of the core set of directives, having to do with ""the beginning of life,"" do not allow any Catholic-affiliated hospitals to offer a range of reproductive services, including abortions, contraceptives, and sterilizations. As a result of mergers, formerly secular hospitals frequently have to adopt the directives. However, the directives are often applied in an ad hoc manner, and hospital administrators and doctors sometimes attempt to circumvent them in confusing and roundabout ways. Ultimately, Catholic-secular hospital mergers lead to a variety of legal challenges, most of which are successful on the basis of medical malpractice laws."
421,Cold War Contingencies: Rethinking the Inevitability of Post-World War II Superpower Conflict,"Toal, Laurence",Political Science,2014,"Murphy, Craig",
422,"The Influence of Attorney's Gender, Age, and Goal on Jury Bias","Jakubaszek, Justyna","Psychology
Political Science",2014,,"This study examined the effects of a lawyer's age, gender, and goals on biases in jury decisions. Participants read the closing arguments of a lawyer in a case involving libel. I hypothesized that female attorneys would be less influential than male attorneys would overall, and especially in conditions where the attorney is older and the goal is agentic. To test this hypothesis, participants were randomly assigned to read a statement made by either a male or a female attorney, who was either 30 or 55 years old, as indicated through a biographical note. Additionally, the note specified that the attorney was either working for compensation and thus had an agentic goal (focused on the self), or was working pro bono and thus had a communal goal (focused on the community). After reading the attorney's argument, participants evaluated the attorney and the attorney's message. Overall, the perceived competence and persuasiveness of the attorney was the most influential characteristic affecting opinion. Male participants perceived female attorneys as more competent than male attorneys, and female participants perceived male attorneys as more competent than female attorneys. Thus, men were more persuaded by female attorney, and women were more persuaded by men."
423,Do Defensive Pessimists Show Negative Mood Effects on Cognitive Processes?,"Prayson, Brigid",Psychology,2014,"Norem, Julie K.",
424,Towards Enumerations of C-alt and D Matrices,"Ji, Ran",Mathematics,2013,"Schultz, Andrew C.","Kuperberg proved the conjecture on the number of alternating sign matrices (ASMs) of rank n using its partition function, found through its corresponding ice model. He went on to discover subclasses of ASMs with specific symmetry properties and their corresponding ice models, and was able to enumerate these matrices by making a connection between partition functions and x-enumerations. Using similar methods, Razumov and Stroganov enumerated the class of half-turn symmetric alternating sign matrices of odd order by connecting its partition function to partition functions whose explicit formulas are known. We introduce two new classes of half-turn symmetric matrices, C-alt and D. For both the C-alt and D matrices, we prove symmetry properties and recursive formulas for their partition functions. For the C-alt matrices, we also find lead coefficients on specific lead terms in its partition function."
425,Synthesis and Evaluation of α-Synuclein (6-36),"Kallman, Madelyn","Chemistry
Mathematics",2013,"Miwa, Julia H.","Parkinson's disease is a common neurodegenerative disorder characterized by tremors and motors deficits, caused by the death of dopaminergic neurons and the resulting dopamine depletion in the brain. Examination of the substantia nigra of the brains of Parkinson's patients reveals abnormal intraneruonal deposition of fibrillar aggregates of the protein alpha-synuclein. While Parkinson's disease is generally idiopathic in origin, several mutations in alpha-synuclein have been shown to increase the likelihood of the disease. This further implicates alpha-synuclein in the pathogenesis of Parkinson's disease. This report focuses on wild type alpha-synuclein. A 31-residue peptide corresponding to residues 6-36 of the N-terminus of alpha-synuclein was synthesized, purified, and its conformation examined using circular dichroism spectroscopy. The peptide showed conformational behavior that is similar to what has been found for this region in the full-length protein. Thus, the peptide can be used as a model system for the N-terminal region of alpha-synuclein. In future work, this peptide model and its A30P mutant counterpart can be compared to characterize the role of this mutation in Parkinson's disease."
426,Analysis of Rat Event Related Potentials in Frontal and Parietal Lobes as a Possible Neural Correlate of Attention in Passive Oddball and Active Go/No-Go Paradigms,"Imada, Allicia",Neuroscience,2013,,"Event related potentials (ERPs) are often used to examine normal human attention and to assess attentional impairments in neurological and mental disorders (Linden, 2005, Jahshan et al., 2012). To better understand sensory and attentional processing in the rat, ERPs were recorded from medio-dorsal frontal and posterior parietal areas while the animals were exposed to passive and active auditory attentional paradigms. The passive oddball paradigm was designed to target bottom-up stimulus-driven attention, while the active go/no-go paradigm was designed to evoke top-down goal-driven attention. In the passive paradigm rare-tone enhancements were seen in frontal and parietal N1, P2, N2, P3E, P3L peak amplitudes that overall could not be accounted for by stimulus specific adaptation (SSA). In the active paradigm N2 peaks showed a trend toward being larger during lick trials in general as well as specifically in false alarms, while P2 in hit trials and P3 in miss trials showed trends toward being larger. Licking might therefore affect ERP peaks by increasing N2, while attentional processing in the active paradigm might manifest itself as larger P2 on hit trials and perhaps as larger P3 on misses and N2 on false alarms. The active paradigm produced larger amplitude ERP components in general than the passive paradigm, in agreement with other studies (Shinba, 1997, Sambeth et al., 2003, Wronka et al., 2008, Hattori et al., 2010). Active N2 and P3 peak latencies were longer than those in the passive condition, which is also in agreement with other studies (Ritter et al., 1983, Katayama and Polich, 1999, Folstein and Van Petten, 2008, Wronka et al., 2008). Active and passive tasks do seem to elicit different ERP peaks, but the similarities between these differences in rats and humans is still unclear. Overall our results help extend the correspondence between human and rat sensory processing, while also beginning to identify species differences."
427,"Leaders, Listeners, and Learners: American Women Who Have 'Shattered the Glass Ceiling' of Corporate America and the American Academy","Sams, Leah",Women's and Gender Studies,2014,"Hertz, Rosanna",
